Year,City,District,Seats,Candidates,Uncompetitive
1999,Los Altos,At-Large,3,5,
2001,Los Altos,At-Large,2,2,YES
2004,Los Altos,At-Large,3,8,
2005,Los Altos,At-Large,2,4,
2007,Los Altos,At-Large,3,4,
2010,Los Altos,At-Large,2,5,
2012,Los Altos,At-Large,3,6,
2014,Los Altos,At-Large,2,5,
2016,Los Altos,At-Large,3,6,
2018,Los Altos,At-Large,2,5,
2020,Los Altos,At-Large,3,7,
2022,Los Altos,At-Large,2,4,
2000,Campbell,At-Large,2,2,YES
2002,Campbell,At-Large,3,5,
2004,Campbell,At-Large,2,5,
2006,Campbell,At-Large,3,5,
2008,Campbell,At-Large,2,4,
2010,Campbell,At-Large,3,9,
2012,Campbell,At-Large,2,3,
2014,Campbell,At-Large,3,6,
2016,Campbell,At-Large,2,4,
2018,Campbell,At-Large,3,5,
2020,Campbell,1,1,3,
2020,Campbell,2,1,2,
2022,Campbell,3,1,1,YES
2022,Campbell,4,1,1,YES
2022,Campbell,5,1,1,YES
1999,San Mateo,At-Large,2,3,
2001,San Mateo,At-Large,3,4,
2003,San Mateo,At-Large,2,3,
2005,San Mateo,At-Large,3,4,
2007,San Mateo,At-Large,2,5,
2009,San Mateo,At-Large,3,5,
2011,San Mateo,At-Large,2,2,YES
2013,San Mateo,At-Large,3,5,
2015,San Mateo,At-Large,2,4,
2017,San Mateo,At-Large,3,7,
2020,San Mateo,At-Large,2,3,
2022,San Mateo,1,1,2,
2022,San Mateo,3,1,3,
2022,San Mateo,5,1,2,
2000,Menlo Park,At-Large,2,5,
2002,Menlo Park,At-Large,3,8,
2004,Menlo Park,At-Large,2,4,
2006,Menlo Park,At-Large,3,6,
2008,Menlo Park,At-Large,2,3,
2010,Menlo Park,At-Large,3,6,
2012,Menlo Park,At-Large,2,5,
2014,Menlo Park,At-Large,3,6,
2016,Menlo Park,At-Large,2,3,
2018,Menlo Park,1,1,3,
2018,Menlo Park,2,1,2,
2018,Menlo Park,4,1,3,
2020,Menlo Park,3,1,3,
2020,Menlo Park,5,1,1,YES
2022,Menlo Park,1,1,1,YES
2022,Menlo Park,2,1,1,YES
2022,Menlo Park,4,1,2,